,Company,Customer,Review_number,Language,Comment,Comment Date,Reply,Reply Date,Star,Type,Experience Date
0,Cofidis,Cardoso Nuno,2 reviews,FR,Confidis it's perfect very respectful…,"Jun 5, 2023",Bonjour et merci pour votre retour. Merci à vous de votre confiance et pour ce témoignage. A bientôt pour d'autres projets ! Lionel de l'équipe Cofidis.,"Jun 6, 2023",5,Invited,"Confidis it's perfect very respectful…Confidis it's perfect very respectful and above all we can buy things and make it much easier for the customers, Top Thank youDate of experience: June 05, 2023"
1,Cofidis,Narumol Pfeffer,1 review,CZ,Premium surcharge rate,"Nov 21, 2022","Bonjour Narumol Pfeffer. Je suis désolé de voir que la solution de  financement de votre achat proposée par le vendeur ne vous convienne pas. Je vous invite à revenir vers nous pour échanger sur ce ""10 months free interest"", qui ne correspond pas à l'un de nos produits connus. A très vite ! Lionel de l'équipe Cofidis.","Nov 30, 2022",1,Invited,"Premium surcharge ratePremium surcharge rate at the last contract is a joke. You can get cheaper rate at your local bank anywhere. And stop saying 10 months free interest when you charge 6.5% on premium. A waste of time!!!!!!Date of experience: November 20, 2022"
2,Cofidis,ALAIN JONES,1 review,FR,The company is excellent,"Jan 4, 2023","Bonjour Alain.Merci, ça fait vraiment plaisir ! Nous ferons tout notre possible pour continuer à vous apporter satisfaction. A bientôt ! Antoine de l'équipe Cofidis.","Jan 4, 2023",5,Invited,"The company is excellentThe company is excellent. They are very good in all aspects. From enquiries to granting loans,and I always recommend them to my friends.Date of experience: December 29, 2022"
3,Cofidis,Gre Gory,4 reviews,FR,Simple rapide et efficace service…,"Nov 29, 2022","Bonjour Gregory,Rapide et efficace ! Enorme merci. 💪🏻 Je vous souhaite une agréable journée. Bettina de l'équipe Cofidis.","Nov 30, 2022",5,Invited,"Simple rapide et efficace service…Simple rapide et efficace service client au top et d’une grande gentillesseDate of experience: November 21, 2022"
4,Cofidis,JUANITA DUPORT,1 review,FR,interlocuteurs à l 'écoute,"Mar 13, 2023",Bonjour Juanita. Répondre à votre demande de la meilleure manière possible est une priorité pour nos conseillers ! Nous restons à votre disposition pour toutes vos futures demandes. Passez une bonne journée ! Valentin de l'équipe Cofidis,"Mar 14, 2023",4,Invited,"interlocuteurs à l 'écouteDate of experience: February 12, 2023"
5,Cofidis,Preetham MYSORE,2 reviews,FR,"Simple, Rapide et Efficace","Feb 23, 2023","Bonjour Preetham.Simple, rapide et efficace !Enorme merci. 💪🏻 Je vous souhaite une agréable journée.Cyril de l'équipe Cofidis.","Feb 23, 2023",5,Invited,"Simple, Rapide et EfficaceSimple, rapide, et efficace :)Date of experience: February 22, 2023"
6,Cofidis,luca garofani,1 review,PT,Top service,"Sep 24, 2022",Bonjour Luca. Merci pour vos recommandations et votre confiance. 👌 Je vous souhaite une agréable journée. Jean-Michel de l'équipe Cofidis.,"Sep 26, 2022",5,Invited,"Top serviceTop service, money on my bank account in 12 hours!The requested documentation is minimum and they do not bother you requesting strange documents or documents in pdf format, etc. Highly recommended!Date of experience: September 22, 2022"
7,Cofidis,Olivier,2 reviews,FR,Simple et rapide,"Mar 30, 2023",Merci pour votre retour. A très bientôt chez Cofidis ! Camille de l'équipe Cofidis.,"Mar 30, 2023",5,Invited,"Simple et rapideDate of experience: March 21, 2023"
8,Cofidis,DAMIEN,1 review,FR,Simple et rapide,"Mar 23, 2023",Bonjour Damien. Je vous remercie d'avoir pris le temps de nous laisser cette note 5 étoiles. N'hésitez pas à nous recontacter si vous avez la moindre question ! Je vous souhaite une bonne journée. Valentin de l'équipe Cofidis,"Mar 24, 2023",5,Invited,"Simple et rapideDate of experience: March 07, 2023"
9,Cofidis,DEBORAH MOSSAKOWSKI,1 review,FR,Très bon service,"Feb 10, 2023","Bonjour Déborah,Je suis ravi de lire votre témoignage. 😊 Bonne journée ! Jérôme de l'équipe Cofidis.","Feb 13, 2023",5,Invited,"Très bon serviceDate of experience: January 04, 2023"
10,Cofidis,Lazaro Morejon,3 reviews,FR,excellent service,"Jan 31, 2023","Bonjour Lazaro, merci pour votre retour. A très bientôt chez Cofidis ! Wahiba de l'équipe Cofidis.","Jan 31, 2023",5,Invited,"excellent serviceDate of experience: January 05, 2023"
11,Cofidis,BOGRAND,3 reviews,FR,PROFESSIONNEL-EFFICACE-CONDITIONS…,"Apr 5, 2022","Bonjour, Mr Bogrand, merci pour votre message. Votre satisfaction est notre plus belle récompense. Nous restons à votre disposition pour toutes questions ou demandes. Olivier de l'équipe Cofidis.","Apr 6, 2022",5,Invited,"PROFESSIONNEL-EFFICACE-CONDITIONS…PROFESSIONNEL-EFFICACE-CONDITIONS CLAIRES-pas DE SURPRISE;j'utilise vos services pour la 2eme fois et je suis satisfait.je recompte les réutiliser pour les prochains besoin;Date of experience: March 01, 2022"
12,Cofidis,Beth Peake ,12 reviews,FR,Very easy to sort out and cofidis do…,"Updated Aug 3, 2021",Je suis ravi de lire votre commentaire. Je vous remercie pour le partage de cette expérience qui vous a apporté satisfaction. Bonne journée. Rémi de l'équipe Cofidis.,"Updated Aug 3, 2021",5,Invited,"Very easy to sort out and cofidis do…Très facile à trier et cofidis met tout en œuvre pour vous aiderVery easy to sort out and cofidis do everything they can to help youDate of experience: August 03, 2021"
13,Cofidis,GERARD CAHOREAU,1 review,FR,Rapide et simple,"Nov 8, 2022",Bonjour Gerard CAHOREAU. Merci pour votre retour. A très bientôt chez Cofidis ! Matthias de l'équipe Cofidis.,"Nov 9, 2022",5,Invited,"Rapide et simpleRapide et simple. MerciDate of experience: October 24, 2022"
14,Cofidis,IULIANA IFTIME,1 review,FR,Excellent communication,"May 4, 2022","Bonjour IULIANA IFTIME, Merci pour votre commentaire, c'est un plaisir de pouvoir vous apporter satisfaction. Je vous souhaite une belle journée ! Annick de l'équipe Cofidis.","May 5, 2022",5,Invited,"Excellent communicationExcellent communication, attentive à notre besoin financier.Confirmation rapide et collaboration efficiente.Date of experience: May 04, 2022"
15,Cofidis,Fernandez Gregory,3 reviews,FR,Très bon contact,"Nov 8, 2022",Bonjour M. Fernandez. Je suis ravi de lire votre témoignage. 😊 Bonne journée ! Philippe de l'équipe Cofidis.,"Nov 9, 2022",5,Invited,"Très bon contactDate of experience: October 28, 2022"
16,Cofidis,"Van Rossem, Francis",5 reviews,BE,Je trouve que il faut faire attention à…,"Oct 8, 2021","Bonjour Francis,La Banque de France fixe le taux de l'usure à partir des taux effectifs moyens pratiqués par les établissements de crédit, augmentés d’un tiers. Ainsi, le taux de l’usure correspond au taux maximum légal que les établissements de crédit (comme Cofidis) sont autorisés à pratiquer lorsqu’ils accordent un crédit. Ce taux varie en fonction du type de prêts. Il est fixé à la fin de chaque trimestre pour le trimestre suivant par la Banque de France et publié au Journal officiel. A bientôt. Céline de l'équipe Cofidis. 😉","Oct 11, 2021",3,Invited,"Je trouve que il faut faire attention à…Je trouve que il faut faire attention à ce que l'on faitCofidis si on empreinte il y a des intérêt à payerDate of experience: October 08, 2021"
17,Cofidis,PHILIPPE SERIEYS,4 reviews,FR,Excellent contact rapidité de mise à…,"Jan 10, 2022","Bonjour Mr Serieys, merci pour votre message. Votre satisfaction est notre plus belle récompense. Nous restons à votre disposition pour toutes questions ou besoins. Olivier le l'équipe Cofidis.","Jan 12, 2022",5,Invited,"Excellent contact rapidité de mise à…Excellent contact rapidité de mise à disposition du prêt simplicité du dossier à constituerDate of experience: January 10, 2022"
18,Cofidis,CHRISTOPHE ZAMY,1 review,FR,Interlocuteurs poli,"Oct 18, 2022","Bonjour Christophe, Je vous remercie pour votre retour et vos 4 étoiles ! A bientôt 😊Belle journée. Camille de l'équipe Cofidis","Oct 19, 2022",4,Invited,"Interlocuteurs poliInterlocuteurs poli, avenant, réactifDate of experience: October 18, 2022"
19,Cofidis,HENRI DUSAUTOIS,1 review,FR,Action réaction bravo Merci 😊,"Oct 18, 2022",Bonjour HenriJe suis ravie de lire votre témoignage. Bonne journée ! Valérie de l'équipe Cofidis.,"Oct 19, 2022",4,Invited,"Action réaction bravo Merci 😊Date of experience: October 18, 2022"
20,Cofidis,ZIAN CHAKMA,1 review,FR,It's a pretty good bank for loans,"Aug 3, 2021","Bonjour Monsieur CHAKMA,Merci, ça fait vraiment plaisir ! Nous ferons tout notre possible pour continuer à vous apporter satisfaction. A bientôt ! Julien de l'équipe Cofidis.","Aug 3, 2021",5,Invited,"It's a pretty good bank for loansIt's a pretty good bank for loans . Even though you work at france and a foreigner.  This bank trusts you :) I  satisfiedDate of experience: August 03, 2021"
